px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
130.035	13.7264	2.51067	0.225967	-0.0454152	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.44546
132.089	14.5034	2.72168	0.36528	0.0716153	132.092	14.507	132.53	14.458	2.55028	0.74543	0.0641651
132.156	14.5102	2.8498	0.353952	0.0595503	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.02437
135.054	15.0481	3.75944	-0.00360745	-0.205313	135.074	15.0475	135.066	15.2513	2.58865	0.863795	0.784951
135.038	15.0334	3.04102	-0.0907112	-0.316143	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.96696
137.56	16.1993	2.85703	0.621721	0.338671	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.24337
137.59	16.1955	3.25228	0.544037	0.230496	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.320135
140.323	17.014	3.22395	0.201939	-0.14582	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.51253
140.325	17.0108	3.10224	0.205373	-0.137004	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0837515
142.886	17.987	3.28783	0.384332	0.0654642	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.13442
142.838	17.982	3.14039	0.396441	0.0823421	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.521877
145.385	19.1603	3.52836	0.40153	0.0319192	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.105484
145.456	19.1707	3.3273	0.425065	0.0991383	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.84328
148.24	20.473	3.89139	0.397735	0.0169372	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.232441
148.213	20.4705	3.31217	0.478302	0.170791	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.677772
150.679	22.1113	3.71985	0.616708	0.148723	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.103306
150.662	22.1093	3.62829	0.640061	0.189226	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.0653471
153.416	23.4945	3.54133	0.398305	-0.0848135	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.300962
153.396	23.4849	3.22945	0.46357	0.0140575	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.276597
156.039	24.8066	3.64481	0.402183	-0.0348003	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.123255
156.023	24.8055	3.09785	0.456539	0.0783501	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.520476
158.888	26.0275	3.95631	0.307603	-0.0692685	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.556182
158.897	26.0266	3.44379	0.33668	0.00483803	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.783498
161.411	27.4231	3.53468	0.527617	0.122894	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0429521
161.44	27.4319	3.21967	0.566153	0.201264	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.47199
163.623	28.7709	3.13655	0.533741	0.052076	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0705226
